split,image_path,label
train,train\abstract_digital\abstract_digital_abstract_digital_0.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_10.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_100.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1000.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1001.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1002.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1003.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1004.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1006.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1007.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1008.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1009.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1010.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1011.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1012.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1013.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1014.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1015.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1016.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1017.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1018.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1019.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_102.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1020.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1021.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1025.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1026.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1027.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1028.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_103.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1030.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1031.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1032.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1033.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1034.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1035.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1036.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1038.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_104.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1040.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1041.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1042.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1044.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1045.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1046.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1047.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1048.jpg,abstract_digital
train,train\abstract_digital\abstract_digital_abstract_digital_1049.jpg,abstract_digital
